,neighborhood,1,2,3,4,5,6,7,8,9,10,labels
0,Berczy Park,Coffee Shop,Cocktail Bar,Seafood Restaurant,Hotel,Café,Beer Bar,Restaurant,Cheese Shop,Breakfast Spot,Bakery,0
1,"Brockton, Parkdale Village, Exhibition Place",Coffee Shop,Hotel,Café,Restaurant,Japanese Restaurant,Movie Theater,Burrito Place,Salon / Barbershop,Sandwich Place,Gym,0
2,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",Coffee Shop,Hotel,Café,Restaurant,Japanese Restaurant,Movie Theater,Burrito Place,Salon / Barbershop,Sandwich Place,Gym,0
3,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",Coffee Shop,Hotel,Restaurant,Italian Restaurant,Yoga Studio,Pizza Place,Beer Bar,Bar,Sandwich Place,Gym,0
4,Central Bay Street,Coffee Shop,Clothing Store,Hotel,Theater,Cosmetics Shop,Department Store,Diner,Plaza,Japanese Restaurant,Sandwich Place,0
5,Christie,Korean Restaurant,Café,Coffee Shop,Park,Sandwich Place,Grocery Store,Mexican Restaurant,Cocktail Bar,Karaoke Bar,Indian Restaurant,0
6,Church and Wellesley,Coffee Shop,Hotel,Gay Bar,Japanese Restaurant,Men's Store,Dance Studio,Sushi Restaurant,Café,Burger Joint,Restaurant,0
7,"Commerce Court, Victoria Hotel",Coffee Shop,Café,Restaurant,Hotel,Italian Restaurant,American Restaurant,Japanese Restaurant,Gym,Seafood Restaurant,Tea Room,0
8,Davisville,Sandwich Place,Diner,Indian Restaurant,Café,Restaurant,Gas Station,Thai Restaurant,Italian Restaurant,Coffee Shop,Fast Food Restaurant,0
9,Davisville North,Sandwich Place,Diner,Indian Restaurant,Café,Restaurant,Gas Station,Thai Restaurant,Italian Restaurant,Coffee Shop,Fast Food Restaurant,0
10,"Dufferin, Dovercourt Village",Bar,Café,Pizza Place,Coffee Shop,Bakery,Pub,Comedy Club,Sushi Restaurant,Restaurant,Ethiopian Restaurant,0
11,"First Canadian Place, Underground city",Coffee Shop,Hotel,Restaurant,Café,Gym,American Restaurant,Seafood Restaurant,Beer Bar,Japanese Restaurant,Tea Room,0
12,"Forest Hill North & West, Forest Hill Road Park",Gym / Fitness Center,Park,Yoga Studio,Dog Run,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,1
13,"Garden District, Ryerson",Pizza Place,Fast Food Restaurant,Athletics & Sports,Intersection,Gastropub,Pet Store,Pharmacy,Rock Climbing Spot,Bank,Gym / Fitness Center,0
14,"Harbourfront East, Union Station, Toronto Islands",Harbor / Marina,Fast Food Restaurant,Park,Farm,Theme Park,Dog Run,Filipino Restaurant,Farmers Market,Falafel Restaurant,Event Space,0
15,"High Park, The Junction South",Restaurant,Café,Flea Market,Thai Restaurant,Mexican Restaurant,Bus Stop,Fried Chicken Joint,Bookstore,Food Truck,Liquor Store,0
16,"India Bazaar, The Beaches West",Tea Room,Japanese Restaurant,Bar,Pharmacy,Juice Bar,Mediterranean Restaurant,Nail Salon,Grocery Store,Pizza Place,Chocolate Shop,0
17,"Kensington Market, Chinatown, Grange Park",Café,Vegetarian / Vegan Restaurant,Mexican Restaurant,Park,Coffee Shop,Pizza Place,Grocery Store,Bakery,Gaming Cafe,Art Gallery,0
18,Lawrence Park,Coffee Shop,Bank,Italian Restaurant,Grocery Store,Mobile Phone Shop,Supermarket,Spa,Bubble Tea Shop,Bus Line,Seafood Restaurant,0
19,"Little Portugal, Trinity",Bar,Coffee Shop,Café,Restaurant,Cocktail Bar,Vegetarian / Vegan Restaurant,Bakery,Korean Restaurant,Portuguese Restaurant,Breakfast Spot,0
20,"Moore Park, Summerhill East",Convenience Store,Playground,Gym,Park,Restaurant,Discount Store,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,0
21,"North Toronto West,  Lawrence Park",Coffee Shop,Bank,Italian Restaurant,Grocery Store,Mobile Phone Shop,Supermarket,Spa,Bubble Tea Shop,Bus Line,Seafood Restaurant,0
22,"Parkdale, Roncesvalles",Coffee Shop,Park,Bakery,Eastern European Restaurant,Sushi Restaurant,Thai Restaurant,Restaurant,Café,Farmers Market,Food & Drink Shop,0
